MSR_Id;Lane;Direction;Latitude;Longitude;Name;Canton;Direction;Street 
CH:0844.04;lane4;positive;47.6912308;8.6217041;BAHNTAL GALGENBUCKTUNNEL;SH;SCHAFFHAUSEN;A 4
CH:0198.03;lane2;negative;47.4661369;9.48050117;GOLDACH S (AB);SG;ST. GALLEN;A 1
CH:0198.04;lane1;negative;47.4661674;9.4805212;GOLDACH S (AB);SG;ST. GALLEN;A 1
CH:0096.01;lane1;negative;46.8375549;9.45603275;DOMAT/EMS (AB);GR;CHUR                ;A 13
CH:0096.02;lane2;negative;46.8375168;9.45602131;DOMAT/EMS (AB);GR;CHUR                ;A 13
CH:0526.01;lane1;positive;46.1772423;8.70101738;INTRAGNA-CENTOVALLI;TI;LOCARNO;H 560
CH:0301.03;lane1;positive;47.3646889;8.42414284;BIRMENSDORF N (AB) - ZH1103;ZH;VERZW. ZUERICH WEST;A 4
CH:0274.06;lane1;negative;47.4441872;8.34282207;WUERENLOS (AB) - AG1401;AG;BERN;A 1
CH:0368.01;lane1;positive;46.9628067;7.43695593;BERN, ZUBRINGER NEUFELD (TUNNEL);BE;BERN, TIEFENAUSTRASSE;A 1
CH:0274.04;lane3;negative;47.4441528;8.34273815;WUERENLOS (AB) - AG1401;AG;BERN;A 1
CH:0274.05;lane2;negative;47.4441681;8.34278202;WUERENLOS (AB) - AG1401;AG;BERN;A 1
CH:0098.01;lane1;negative;46.3334999;9.53078747;CASTASEGNA;GR;ST. MORITZ          ;H 3
CH:0301.04;lane2;positive;47.3646889;8.42419243;BIRMENSDORF N (AB) - ZH1103;ZH;VERZW. ZUERICH WEST;A 4
CH:0379.03;lane2;positive;47.6009178;8.69159794;KLEINANDELFINGEN ANSCHLUSS 1 (AB);ZH;WINTERTHUR;A 4
CH:0099.02;lane1;negative;46.6145172;9.99196053;UMF. S-CHANF;GR;ST. MORITZ          ;H 27
CH:0081.06;lane2;positive;47.5388985;7.64491034;MUTTENZ, HARD (AB);BL;AUGST;A 2
CH:0081.07;lane1;positive;47.5389366;7.64492559;MUTTENZ, HARD (AB);BL;AUGST;A 2
CH:0081.08;emergencyLane;positive;47.5389557;7.64495897;MUTTENZ, HARD (AB);BL;AUGST;A 2
CH:0100.01;lane1;;46.2098274;9.02994061;CIRCONVAL. BELLINZONA (AS);TI;VERZW. A2/A13;A 2
CH:0301.02;emergencyLane;positive;47.3646927;8.42409134;BIRMENSDORF N (AB) - ZH1103;ZH;VERZW. ZUERICH WEST;A 4
CH:0379.02;lane1;positive;47.6009216;8.69164467;KLEINANDELFINGEN ANSCHLUSS 1 (AB);ZH;WINTERTHUR;A 4
CH:0543.03;lane1;positive;47.4300804;8.36463451;SPREITENBACH AUSFAHRT (AB) - AG1445;AG;ZUERICH;A 1
CH:0543.02;lane2;positive;47.4301186;8.36465073;SPREITENBACH AUSFAHRT (AB) - AG1445;AG;ZUERICH;A 1
CH:0283.02;lane1;positive;47.5706825;7.58273745;BASEL - ST. JOHANN, TUNNEL E (AB);BS;BASEL;A 3
CH:0102.03;lane2;negative;47.5447083;7.78231287;RHEINFELDEN (AB);AG;AUGST               ;A 3
CH:0102.04;lane1;negative;47.5447388;7.78230381;RHEINFELDEN (AB);AG;AUGST               ;A 3
CH:0104.01;lane1;negative;46.9208374;7.50699949;MURI BE S (AB);BE;BERN;A 6
CH:0104.02;lane2;negative;46.9208527;7.50703859;MURI BE S (AB);BE;BERN;A 6
CH:0283.03;lane2;positive;47.5707245;7.58273745;BASEL - ST. JOHANN, TUNNEL E (AB);BS;BASEL;A 3
CH:0566.05;lane2;positive;47.3421021;8.4575386;DREIECK ZUERICH-WEST 1 (AB) - ZH1202;ZH;BASEL;A 4
